 1 ,  3 ,  3 , 100.00%
 2 ,  3 ,  3 , 100.00%
 3 ,  3 ,  3 , 100.00%
 4 ,  3 ,  3 , 100.00%
 5 ,  3 ,  3 , 100.00%
 6 ,  3 ,  3 , 100.00%
 7 ,  3 ,  3 , 100.00%
 8 ,  2 ,  3 , 66.67%
 9 ,  2 ,  3 , 66.67%
10 ,  2 ,  3 , 66.67%
11 ,  2 ,  3 , 66.67%
12 ,  2 ,  3 , 66.67%
13 ,  2 ,  3 , 66.67%
14 ,  2 ,  3 , 66.67%
15 ,  2 ,  3 , 66.67%
16 ,  3 ,  3 , 100.00%
17 ,  3 ,  3 , 100.00%
18 ,  3 ,  3 , 100.00%
19 ,  3 ,  3 , 100.00%
20 ,  3 ,  3 , 100.00%
21 ,  3 ,  3 , 100.00%
22 ,  3 ,  3 , 100.00%
23 ,  3 ,  3 , 100.00%
24 ,  3 ,  3 , 100.00%
25 ,  3 ,  3 , 100.00%
26 ,  2 ,  3 , 66.67%
27 ,  2 ,  3 , 66.67%
28 ,  2 ,  3 , 66.67%
